PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,
2941,344045888,0.750920415,0.281293094,-0.275319993,-0.530275702,1.079834938,7.211837292,6.42548275,158.3426971,-17.40264511,-22.59387207,-0.98046875,-0.506835938,-1.341796875, 
2942,344054221,0.746768951,0.289279014,-0.281181157,-0.528764367,1.105483413,7.285437584,6.153072834,148.173645,-13.61325264,-22.4206543,-0.979492188,-0.527832031,-1.330078125, 
2943,344062554,0.742720842,0.297018647,-0.286363274,-0.527392268,1.091323376,7.364109516,5.920004845,139.6664429,-8.644792557,-24.7541008,-0.977539063,-0.541015625,-1.321289063, 
2944,344070887,0.738941491,0.304064691,-0.290614367,-0.526359379,1.128347278,7.358487606,5.741330624,123.4858017,-4.433310032,-27.43663025,-0.973632813,-0.557617188,-1.309082031, 
2945,344079220,0.735585392,0.310308754,-0.293781549,-0.525657535,0.970918596,7.258791924,5.709597111,104.3008728,1.027474284,-28.96381378,-0.970214844,-0.569335938,-1.301757813, 
2946,344087553,0.732415557,0.315948248,-0.296400994,-0.525253654,0.874874771,7.307000637,5.529150009,92.3243103,1.735045791,-30.62638664,-0.970214844,-0.580566406,-1.29296875, 
2947,344095886,0.729062438,0.321810871,-0.299106836,-0.524825335,0.814278066,7.472755432,5.613044262,95.98953247,1.781280994,-32.1373024,-0.96484375,-0.592773438,-1.288085938, 
2948,344104219,0.725608408,0.327635139,-0.301704586,-0.52452147,0.53588438,7.624876976,5.848457813,94.86100769,1.677619219,-34.53496933,-0.964355469,-0.60546875,-1.276855469, 
2949,344112552,0.722258866,0.332871407,-0.303902715,-0.524578154,0.767940283,7.938925743,5.943663597,84.04236603,0.180735394,-36.6351738,-0.956054688,-0.611816406,-1.270019531, 
2950,344120885,0.719205678,0.337498099,-0.305416077,-0.524937689,0.559136689,7.942919731,5.72805357,70.52773285,2.487489462,-38.19653702,-0.955566406,-0.624511719,-1.266113281, 
2951,344129218,0.716495156,0.341461241,-0.306468368,-0.525468171,0.919383645,8.467998505,5.862271309,58.2257576,2.850645781,-36.661026,-0.952636719,-0.62890625,-1.262695313, 
2952,344137551,0.714357793,0.344441295,-0.30703041,-0.526104867,0.886300981,8.100174904,5.461957455,41.96150589,2.547841072,-31.82929611,-0.947265625,-0.635742188,-1.258300781, 
2953,344145884,0.712537766,0.346829087,-0.307219744,-0.52689302,0.601635754,7.99819088,5.339981079,31.19952202,2.493601322,-30.17883301,-0.943359375,-0.641601563,-1.255859375, 
2954,344154217,0.710914671,0.348880857,-0.30731073,-0.527677298,0.595486641,8.132465363,5.167126179,26.37541771,1.926346421,-27.8726635,-0.943359375,-0.647949219,-1.250976563, 
2955,344162550,0.709446192,0.350938857,-0.307260901,-0.528317392,0.532146215,8.30284977,5.129790306,25.17630959,4.639229774,-25.93537521,-0.939941406,-0.650878906,-1.247070313, 
2956,344170883,0.707917094,0.353120208,-0.307238698,-0.528927565,0.424484044,8.276539803,5.13077879,27.10598946,5.207995415,-26.57701874,-0.934082031,-0.658203125,-1.249023438, 
2957,344179216,0.706248283,0.355512053,-0.307360113,-0.529485703,0.505020678,8.201071739,5.161533356,30.98635864,4.949625492,-27.17291832,-0.928710938,-0.657714844,-1.24609375, 
2958,344187549,0.704445064,0.358072042,-0.307567269,-0.530042231,0.396641225,8.122735977,5.189865112,34.01780701,4.833670139,-28.53444672,-0.9296875,-0.662109375,-1.242675781, 
2959,344195882,0.702570498,0.360595942,-0.307760656,-0.530706286,0.371992052,8.202498436,5.213828087,33.35099792,3.821240664,-29.9018383,-0.924804688,-0.666015625,-1.241210938, 
2960,344204215,0.700712621,0.362948805,-0.307844818,-0.53150934,0.312948942,8.224377632,5.151974678,30.34587479,3.061930656,-31.05086708,-0.919433594,-0.673828125,-1.236816406, 
2961,344212548,0.698937476,0.36515826,-0.307850182,-0.53232944,0.320865959,8.20535183,5.063196182,27.78351974,2.984959602,-30.28517914,-0.918457031,-0.678710938,-1.236816406, 
2962,344220881,0.69713378,0.367364913,-0.3079198,-0.533135772,0.264109761,8.181145668,5.003331661,28.54818535,2.349136114,-30.13871193,-0.916992188,-0.683105469,-1.231445313, 
2963,344229214,0.695030928,0.37007013,-0.30839777,-0.533733606,0.246352315,8.173064232,4.921135902,38.59420395,1.8229177,-30.26893234,-0.91015625,-0.685058594,-1.229492188, 
2964,344237547,0.69253695,0.373378456,-0.309415042,-0.534082592,0.170195118,8.194811821,4.989515305,51.48334503,0.754187942,-30.68552589,-0.910644531,-0.690429688,-1.2265625, 
2965,344245880,0.689917982,0.376723826,-0.310783952,-0.534327984,0.112761587,8.282419205,4.937400341,55.37885666,-2.374563217,-28.85697937,-0.904296875,-0.698730469,-1.219238281, 
2966,344254213,0.687402248,0.379629791,-0.312186658,-0.534695923,0.099111743,8.277914047,4.90182066,50.52204895,-6.065148354,-27.32031059,-0.903320313,-0.703613281,-1.212402344, 
2967,344262546,0.685113907,0.381990433,-0.313454688,-0.535209239,0.157273248,8.339489937,4.888974667,42.44285583,-8.635590553,-25.27071762,-0.899902344,-0.7109375,-1.20703125, 
2968,344270879,0.683131456,0.383757621,-0.314479977,-0.535877228,0.057458214,8.325202942,4.829752922,32.91464615,-10.15768528,-23.30702782,-0.896484375,-0.7109375,-1.202636719, 
2969,344279212,0.681473851,0.385054529,-0.315239519,-0.536610723,0.078588009,8.360343933,4.748167515,24.41858292,-10.12245941,-20.78326607,-0.895996094,-0.71484375,-1.201660156, 
2970,344287545,0.680127561,0.385953993,-0.315822363,-0.537329316,0.139670059,8.466112137,4.6022892,17.92716026,-9.916749954,-17.67323303,-0.897460938,-0.720703125,-1.19921875, 
2971,344295878,0.679105103,0.38654837,-0.316119641,-0.538020194,0.199982643,8.632401466,4.457715034,11.24493504,-7.999981403,-15.09530735,-0.895019531,-0.721191406,-1.198242188, 
2972,344304211,0.678649962,0.386620969,-0.315910965,-0.538664579,0.392338127,8.877112389,4.386574745,-0.063689798,-4.369443417,-11.0015831,-0.892578125,-0.725097656,-1.196289063, 
2973,344312544,0.679132342,0.38582316,-0.315052807,-0.539131045,0.507318377,8.777718544,4.367179394,-17.33601189,0.211368725,-1.951894999,-0.890625,-0.720214844,-1.196289063, 
2974,344320877,0.680524886,0.383975089,-0.31360209,-0.539540112,0.268805742,8.535792351,4.66889286,-35.99153137,2.256667614,6.621184349,-0.893554688,-0.720214844,-1.200195313, 
2975,344329210,0.682789087,0.380651832,-0.311324686,-0.540352702,0.096111491,8.343995094,4.929261208,-62.40657806,0.6278072,11.41960907,-0.895019531,-0.713867188,-1.204589844, 
2976,344337543,0.685940742,0.375655472,-0.308047801,-0.541733861,0.122945368,8.203211784,5.093770027,-92.48927307,-1.546330452,14.4979744,-0.895996094,-0.706054688,-1.211425781, 
2977,344345876,0.690265,0.36868012,-0.30403623,-0.543297291,0.348902434,8.090706825,5.492383003,-123.5968628,-5.386428833,26.20913315,-0.897949219,-0.696777344,-1.224609375, 
2978,344354209,0.695909858,0.359083384,-0.298785478,-0.545432627,-0.078451872,8.1593256,5.898620129,-166.6904755,-10.5365696,35.21665573,-0.90234375,-0.684570313,-1.240234375, 
2979,344362542,0.702463865,0.347064853,-0.291907012,-0.548526645,-0.064573407,8.285925865,6.055743217,-210.6407928,-14.17644882,34.87759781,-0.907226563,-0.66015625,-1.256347656, 
2980,344370875,0.709604502,0.333271056,-0.283552945,-0.552259266,0.046060614,8.204199791,6.114817619,-244.1553802,-13.95114613,33.11553192,-0.912109375,-0.641601563,-1.276367188, 
2981,344379208,0.717038214,0.318222344,-0.274113268,-0.556285322,0.375597686,8.051107407,6.33457756,-267.2653503,-13.15486622,32.49980545,-0.915039063,-0.614257813,-1.297851563, 
2982,344387541,0.724466801,0.302241534,-0.264177322,-0.560365021,0.378892064,7.860902786,6.486671448,-280.3061218,-15.58068752,33.16898346,-0.919433594,-0.585449219,-1.322265625, 
2983,344395874,0.731645405,0.285770029,-0.253848821,-0.564439476,0.309761375,7.587818623,6.664331436,-287.2926941,-16.40947151,31.5466671,-0.924804688,-0.555664063,-1.341308594, 
2984,344404207,0.738409579,0.269337475,-0.243345961,-0.56832391,0.280956507,7.230694771,6.816156864,-285.8320923,-14.98059082,29.31967735,-0.932128906,-0.521972656,-1.363769531, 
2985,344412540,0.74459666,0.253461719,-0.233133629,-0.571823776,0.384650856,6.896422386,6.938193798,-274.6170349,-14.16594601,28.02273178,-0.934570313,-0.493164063,-1.379394531, 
2986,344420873,0.750127912,0.238482893,-0.223821983,-0.5747509,0.470047444,6.519940376,7.134441853,-254.0891113,-16.36205292,28.90001297,-0.94140625,-0.465332031,-1.3984375, 
2987,344429206,0.755017102,0.224733055,-0.215382978,-0.577109337,0.656923652,6.149393559,7.414506912,-230.7966614,-15.84558296,28.85848236,-0.944824219,-0.438476563,-1.410644531, 
2988,344437539,0.759514511,0.211654961,-0.207394361,-0.579075336,0.74302268,5.801950932,7.840524197,-217.7312164,-15.05478191,29.13623238,-0.947753906,-0.409667969,-1.426269531, 
2989,344445872,0.763891816,0.198292628,-0.199316144,-0.580881238,0.643051744,5.519330025,7.925424576,-220.7558441,-16.34712219,30.48765945,-0.951171875,-0.3828125,-1.434082031, 
2990,344454205,0.76820904,0.1844237,-0.19078894,-0.582617283,0.701704144,5.248469353,8.107128143,-229.1615448,-15.5633955,30.8194561,-0.955078125,-0.353027344,-1.442871094, 
2991,344462538,0.772621572,0.169218287,-0.181750745,-0.584284604,0.870387077,5.039720058,8.183801651,-247.5890656,-20.54023552,34.6029129,-0.961425781,-0.326171875,-1.455566406, 
2992,344470871,0.777226746,0.152765319,-0.171920955,-0.585683584,0.995011806,4.805598736,8.386096954,-266.8356018,-20.95555115,40.19732666,-0.965332031,-0.293945313,-1.462890625, 
2993,344479204,0.781737328,0.135294586,-0.161606222,-0.586912513,0.75582701,4.397601128,8.376223564,-281.1761475,-23.93149948,42.71429443,-0.970703125,-0.257324219,-1.471679688, 
2994,344487537,0.78610599,0.116561487,-0.150415868,-0.588070214,0.781219006,3.83471632,8.522097588,-301.2411499,-24.79640007,43.43826675,-0.974609375,-0.220703125,-1.484375, 
2995,344495870,0.79043591,0.095506497,-0.138221651,-0.589054465,0.862091005,3.62124896,8.788431168,-334.2071228,-32.62120438,48.25957489,-0.982421875,-0.1796875,-1.485351563, 
2996,344504203,0.794403076,0.073582247,-0.125695735,-0.589670241,0.820847631,3.237869263,8.751972198,-345.0093689,-36.16625214,50.4787941,-0.983886719,-0.133300781,-1.489746094, 
